"Condition","loc_coord","loc_id","plate","Phase","Group","seconds_total","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper","phase_con_mean","phase_con_sd","phase_con_sem"
"Mut2","A6",6,1,"Light","1",43,1414,32.8837209302326,111.038433779936,16.9332024034118,0,0,-0.305355780454626,66.0727976409197,64.1533430232558,130.940108659137,23.1471596905447
"Mut2","A6",6,2,"Light","1",43,4,0.0930232558139535,0.478785839805931,0.0730141560659,0,0,-0.0500844900752106,0.236131001703118,64.1533430232558,130.940108659137,23.1471596905447
"Mut3","A7",7,1,"Light","1",43,665,15.4651162790698,95.3615548064586,14.5425007726793,0,0,-13.0381852353816,43.9684177935211,66.0327034883721,102.178566021055,18.0627892313513
"Mut3","A7",7,2,"Light","1",43,2080,48.3720930232558,154.155923423225,23.5085579303444,0,0,2.29531947978087,94.4488665667308,66.0327034883721,102.178566021055,18.0627892313513
"Mut3","A8",8,1,"Light","1",43,11118,258.558139534884,253.52151240792,38.6616681907675,223,316,182.781269880979,334.335009188788,66.0327034883721,102.178566021055,18.0627892313513
"Mut3","A8",8,2,"Light","1",43,1,0.0232558139534884,0.152498570332605,0.0232558139534884,0,0,-0.0223255813953488,0.0688372093023256,66.0327034883721,102.178566021055,18.0627892313513
"Mut4","A9",9,1,"Light","1",43,5769,134.162790697674,370.912576673916,56.5636376611548,0,0,23.298060881811,245.027520513538,78.7107558139535,146.877909942543,25.9645915317198
"Mut4","A9",9,2,"Light","1",43,87,2.02325581395349,11.9133545955249,1.81676954368292,0,0,-1.53761249166504,5.58412411957201,78.7107558139535,146.877909942543,25.9645915317198
"Mut4","A10",10,1,"Light","1",43,0,0,0,0,0,0,0,0,78.7107558139535,146.877909942543,25.9645915317198
"Mut4","A10",10,2,"Light","1",43,2893,67.2790697674419,216.359965223456,32.9945853737891,0,0.5,2.60968243481526,131.948457100068,78.7107558139535,146.877909942543,25.9645915317198
"MUT+DMSO","A11",11,1,"Light","1",43,2421,56.3023255813954,210.889446876762,32.16033914694,0,0,-6.73193914660708,119.336590309398,35.281976744186,49.2053019013322,8.69835066119082
"MUT+DMSO","A11",11,2,"Light","1",43,8540,198.604651162791,702.135861888054,107.074715117179,0,1,-11.2617904668809,408.471092792462,35.281976744186,49.2053019013322,8.69835066119082
