time	location	data1	data2
208268362	Loc13	0	0
208268362	Loc14	263	0
208268362	Loc15	5	0
208268362	Loc16	0	100
208268362	Loc17	0	43
208268362	Loc18	0	0
208268362	Loc19	0	0
208268362	Loc20	0	44
208268362	Loc21	132	0
208268362	Loc22	0	1
208268362	Loc23	0	0
208268362	Loc24	57	0
208268362	Loc25	0	0
208268362	Loc26	0	0
208268362	Loc27	0	0
208268362	Loc28	0	24
208268362	Loc29	87	0
208268362	Loc30	0	5
208268362	Loc31	0	0
208268362	Loc32	0	0
208268362	Loc33	0	0
208268362	Loc34	0	0
208268362	Loc35	0	0
208268362	Loc36	0	0
208268362	Loc37	0	0
208268362	Loc38	0	0
208268362	Loc39	0	0
208268362	Loc40	0	0
208268362	Loc41	55	0
208268362	Loc42	0	0
208268362	Loc43	77	0
208268362	Loc44	2	0
208268362	Loc45	49	0
208268362	Loc46	80	0
208268362	Loc47	0	0
208268362	Loc48	50	0
208268362	Loc49	113	0
208268362	Loc50	35	0
208268362	Loc51	0	0
208268362	Loc52	52	0
208268362	Loc53	18	0
208268362	Loc54	0	0
208268362	Loc55	0	0
208268362	Loc56	0	26
208268362	Loc57	0	0
208268362	Loc58	54	0
208268362	Loc59	11	0
208268362	Loc60	0	0
208268362	Loc61	0	60
208268362	Loc62	0	0
208268362	Loc63	0	0
208268362	Loc64	0	0
208268362	Loc65	0	0
208268362	Loc66	0	0
208268362	Loc67	114	45
208268362	Loc68	12	0
208268362	Loc69	0	0
208268362	Loc70	0	0
208268362	Loc71	0	0
208268362	Loc72	68	0
208268362	Loc73	0	0
208268362	Loc74	0	0
208268362	Loc75	13	0
208268362	Loc76	32	71
208268362	Loc77	21	13
208268362	Loc78	85	0
208268362	Loc79	125	0
208268362	Loc80	0	0
208268362	Loc81	0	0
208268362	Loc82	0	0
208268362	Loc83	0	0
208268362	Loc84	98	68
208268362	Loc85	0	0
208268362	Loc86	0	0
208268362	Loc87	0	0
208268362	Loc88	66	0
208268362	Loc89	0	0
208268362	Loc90	0	0
208268362	Loc91	0	0
208268362	Loc92	0	73
208268362	Loc93	0	0
208268362	Loc94	0	40
208268362	Loc95	79	0
208268362	Loc96	0	0
208302264	Loc01	71	0
208302264	Loc02	0	0
208302264	Loc03	0	6
208302264	Loc04	0	0
208302264	Loc05	0	0
208302264	Loc06	0	0
208302264	Loc07	0	0
208302264	Loc08	75	37
208302264	Loc09	0	0
208302264	Loc10	149	0
208302264	Loc11	0	0
208302264	Loc12	0	0
208302264	Loc13	0	0
208302264	Loc14	320	0
208302264	Loc15	4	0
208302264	Loc16	0	78
208302264	Loc17	22	19
208302264	Loc18	0	0
208302264	Loc19	0	0
208302264	Loc20	0	31
208302264	Loc21	59	0
208302264	Loc22	0	0
208302264	Loc23	0	0
208302264	Loc24	41	0
208302264	Loc25	52	0
208302264	Loc26	0	0
208302264	Loc27	0	0
208302264	Loc28	0	27
208302264	Loc29	49	0
208302264	Loc30	0	16
208302264	Loc31	0	12
208302264	Loc32	0	0
208302264	Loc33	0	0
208302264	Loc34	0	0
208302264	Loc35	0	0
208302264	Loc36	0	0
208302264	Loc37	0	0
208302264	Loc38	0	0
208302264	Loc39	0	0
208302264	Loc40	0	0
208302264	Loc41	32	0
208302264	Loc42	0	0
208302264	Loc43	113	0
208302264	Loc44	2	0
208302264	Loc45	10	0
208302264	Loc46	43	0
208302264	Loc47	0	0
208302264	Loc48	0	0
208302264	Loc49	182	0
208302264	Loc50	136	0
208302264	Loc51	0	0
208302264	Loc52	113	0
208302264	Loc53	65	0
208302264	Loc54	0	0
208302264	Loc55	0	0
208302264	Loc56	0	21
208302264	Loc57	0	0
208302264	Loc58	67	0
208302264	Loc59	4	0
208302264	Loc60	0	0
208302264	Loc61	0	42
208302264	Loc62	0	0
208302264	Loc63	0	0
208302264	Loc64	0	0
208302264	Loc65	0	0
208302264	Loc66	0	43
208302264	Loc67	41	14
208302264	Loc68	7	0
208302264	Loc69	0	0
208302264	Loc70	0	0
208302264	Loc71	0	0
208302264	Loc72	61	0
208302264	Loc73	0	0
208302264	Loc74	0	0
208302264	Loc75	9	0
208302264	Loc76	64	31
208302264	Loc77	14	16
208302264	Loc78	178	0
208302264	Loc79	49	0
208302264	Loc80	0	0
208302264	Loc81	0	0
208302264	Loc82	0	0
208302264	Loc83	80	0
208302264	Loc84	57	37
208302264	Loc85	0	0
208302264	Loc86	0	0
208302264	Loc87	0	0
208302264	Loc88	16	0
208302264	Loc89	0	0
208302264	Loc90	0	0
208302264	Loc91	0	0
208302264	Loc92	0	91
208302264	Loc93	0	0
208302264	Loc94	0	18
208302264	Loc95	56	0
208302264	Loc96	0	0
208334952	Loc01	14	0
208334952	Loc02	0	0
208334952	Loc03	0	2
208334952	Loc04	0	0
208334952	Loc05	0	0
208334952	Loc06	0	0
208334952	Loc07	0	0
208334952	Loc08	55	8
208334952	Loc09	0	0
208334952	Loc10	138	0
208334952	Loc11	0	0
208334952	Loc12	0	0
208334952	Loc13	0	0
208334952	Loc14	205	0
208334952	Loc15	0	0
208334952	Loc16	0	52
208334952	Loc17	66	3
208334952	Loc18	0	0
208334952	Loc19	0	0
208334952	Loc20	0	201
208334952	Loc21	15	0
208334952	Loc22	0	0
208334952	Loc23	0	0
208334952	Loc24	26	0
208334952	Loc25	60	0
208334952	Loc26	0	0
208334952	Loc27	0	0
208334952	Loc28	0	7
208334952	Loc29	25	0
208334952	Loc30	0	1
208334952	Loc31	0	130
208334952	Loc32	0	0
208334952	Loc33	0	0
208334952	Loc34	0	0
208334952	Loc35	0	0
208334952	Loc36	0	0
208334952	Loc37	0	0
208334952	Loc38	0	0
208334952	Loc39	0	0
208334952	Loc40	0	0
208334952	Loc41	16	0
208334952	Loc42	0	0
208334952	Loc43	89	0
208334952	Loc44	0	0
208334952	Loc45	155	0
208334952	Loc46	32	0
208334952	Loc47	0	0
208334952	Loc48	0	0
208334952	Loc49	167	0
208334952	Loc50	103	0
208334952	Loc51	0	0
208334952	Loc52	83	0
208334952	Loc53	100	0
208334952	Loc54	0	0
208334952	Loc55	0	0
208334952	Loc56	0	16
208334952	Loc57	0	0
208334952	Loc58	75	0
208334952	Loc59	1	0
208334952	Loc60	0	0
208334952	Loc61	0	87
208334952	Loc62	0	0
208334952	Loc63	0	0
208334952	Loc64	0	0
208334952	Loc65	0	0
208334952	Loc66	0	63
208334952	Loc67	0	42
208334952	Loc68	4	0
208334952	Loc69	0	0
208334952	Loc70	73	0
208334952	Loc71	0	0
208334952	Loc72	30	0
208334952	Loc73	0	0
208334952	Loc74	0	42
208334952	Loc75	7	0
208334952	Loc76	31	44
208334952	Loc77	78	22
208334952	Loc78	134	0
208334952	Loc79	22	0
208334952	Loc80	0	0
208334952	Loc81	0	0
208334952	Loc82	0	0
208334952	Loc83	65	0
208334952	Loc84	61	2
208334952	Loc85	0	0
208334952	Loc86	0	0
208334952	Loc87	0	0
208334952	Loc88	1	0
208334952	Loc89	1	0
208334952	Loc90	0	0
208334952	Loc91	0	0
208334952	Loc92	0	41
208334952	Loc93	0	0
208334952	Loc94	0	2
208334952	Loc95	53	0
208334952	Loc96	0	0
208368328	Loc01	0	0
208368328	Loc02	0	0
208368328	Loc03	0	2
208368328	Loc04	0	0
208368328	Loc05	0	0
208368328	Loc06	9	0
208368328	Loc07	0	0
208368328	Loc08	41	0
208368328	Loc09	0	0
208368328	Loc10	71	0
208368328	Loc11	0	0
208368328	Loc12	0	0
208368328	Loc13	0	0
208368328	Loc14	136	0
208368328	Loc15	0	0
208368328	Loc16	0	21
208368328	Loc17	42	0
208368328	Loc18	0	0
208368328	Loc19	0	1
208368328	Loc20	0	307
208368328	Loc21	12	0
208368328	Loc22	0	0
208368328	Loc23	0	0
208368328	Loc24	12	0
208368328	Loc25	63	0
208368328	Loc26	0	0
208368328	Loc27	0	0
208368328	Loc28	0	4
208368328	Loc29	10	0
208368328	Loc30	0	0
208368328	Loc31	0	181
208368328	Loc32	0	0
208368328	Loc33	0	0
208368328	Loc34	0	0
208368328	Loc35	0	0
208368328	Loc36	0	0
208368328	Loc37	0	0
208368328	Loc38	0	0
208368328	Loc39	0	0
208368328	Loc40	0	0
208368328	Loc41	14	0
208368328	Loc42	0	0
208368328	Loc43	73	0
208368328	Loc44	0	0
208368328	Loc45	93	0
208368328	Loc46	19	0
208368328	Loc47	0	0
208368328	Loc48	0	0
208368328	Loc49	192	0
208368328	Loc50	92	0
208368328	Loc51	0	0
208368328	Loc52	126	0
208368328	Loc53	162	0
208368328	Loc54	85	0
208368328	Loc55	0	0
208368328	Loc56	0	11
208368328	Loc57	0	0
208368328	Loc58	57	0
208368328	Loc59	0	0
208368328	Loc60	0	0
208368328	Loc61	0	44
208368328	Loc62	0	0
208368328	Loc63	0	0
208368328	Loc64	0	0
208368328	Loc65	0	0
208368328	Loc66	0	64
208368328	Loc67	0	24
208368328	Loc68	0	0
208368328	Loc69	0	0
208368328	Loc70	148	0
208368328	Loc71	0	0
208368328	Loc72	8	0
208368328	Loc73	0	0
208368328	Loc74	0	32
208368328	Loc75	1	0
208368328	Loc76	0	51
208368328	Loc77	44	22
208368328	Loc78	161	0
208368328	Loc79	18	0
208368328	Loc80	0	0
208368328	Loc81	0	0
208368328	Loc82	0	0
208368328	Loc83	59	0
208368328	Loc84	41	0
208368328	Loc85	0	0
208368328	Loc86	0	0
208368328	Loc87	0	0
208368328	Loc88	0	0
208368328	Loc89	53	0
208368328	Loc90	0	0
208368328	Loc91	0	0
208368328	Loc92	0	14
208368328	Loc93	0	0
208368328	Loc94	0	0
208368328	Loc95	36	0
208368328	Loc96	0	0
208401651	Loc01	0	0
208401651	Loc02	0	0
208401651	Loc03	0	0
208401651	Loc04	0	0
208401651	Loc05	0	0
208401651	Loc06	100	0
208401651	Loc07	0	0
208401651	Loc08	32	0
208401651	Loc09	0	0
208401651	Loc10	10	0
208401651	Loc11	0	0
208401651	Loc12	0	0
208401651	Loc13	0	0
208401651	Loc14	91	0
208401651	Loc15	0	0
208401651	Loc16	0	12
208401651	Loc17	46	0
208401651	Loc18	0	0
208401651	Loc19	0	2
208401651	Loc20	0	151
208401651	Loc21	6	0
208401651	Loc22	0	0
208401651	Loc23	0	0
208401651	Loc24	1	0
208401651	Loc25	31	0
208401651	Loc26	0	0
208401651	Loc27	0	0
208401651	Loc28	0	30
208401651	Loc29	6	0
208401651	Loc30	0	0
208401651	Loc31	0	115
208401651	Loc32	0	0
208401651	Loc33	0	0
208401651	Loc34	0	0
208401651	Loc35	0	0
208401651	Loc36	0	0
208401651	Loc37	0	0
208401651	Loc38	0	0
208401651	Loc39	0	0
208401651	Loc40	0	0
208401651	Loc41	10	0
208401651	Loc42	0	0
208401651	Loc43	59	0
208401651	Loc44	0	0
208401651	Loc45	113	0
208401651	Loc46	116	0
208401651	Loc47	0	0
208401651	Loc48	0	0
208401651	Loc49	126	46
208401651	Loc50	68	0
208401651	Loc51	18	0
208401651	Loc52	100	0
208401651	Loc53	179	0
208401651	Loc54	49	0
208401651	Loc55	0	0
208401651	Loc56	0	0
208401651	Loc57	0	0
208401651	Loc58	59	71
208401651	Loc59	0	0
208401651	Loc60	0	0
208401651	Loc61	0	6
208401651	Loc62	0	0
208401651	Loc63	0	0
208401651	Loc64	0	0
208401651	Loc65	0	0
208401651	Loc66	0	132
208401651	Loc67	0	20
208401651	Loc68	0	0
208401651	Loc69	0	0
208401651	Loc70	116	0
208401651	Loc71	0	0
208401651	Loc72	2	0
208401651	Loc73	0	0
208401651	Loc74	0	39
208401651	Loc75	0	0
208401651	Loc76	94	59
208401651	Loc77	142	28
208401651	Loc78	86	0
208401651	Loc79	5	0
208401651	Loc80	0	0
208401651	Loc81	0	0
208401651	Loc82	0	0
208401651	Loc83	45	0
208401651	Loc84	19	0
208401651	Loc85	0	0
208401651	Loc86	0	0
208401651	Loc87	0	0
208401651	Loc88	0	0
208401651	Loc89	164	0
208401651	Loc90	0	0
208401651	Loc91	0	0
208401651	Loc92	0	1
208401651	Loc93	0	0
208401651	Loc94	0	0
208401651	Loc95	15	0
208401651	Loc96	0	0
208435046	Loc01	0	0
208435046	Loc02	0	0
208435046	Loc03	0	1
208435046	Loc04	0	0
208435046	Loc05	0	89
208435046	Loc06	127	0
208435046	Loc07	0	0
208435046	Loc08	16	0
208435046	Loc09	0	0
208435046	Loc10	0	0
208435046	Loc11	0	0
208435046	Loc12	0	0
208435046	Loc13	69	50
208435046	Loc14	47	0
208435046	Loc15	0	0
208435046	Loc16	0	2
208435046	Loc17	127	0
208435046	Loc18	0	0
208435046	Loc19	0	0
208435046	Loc20	0	141
208435046	Loc21	4	0
208435046	Loc22	0	0
208435046	Loc23	0	0
208435046	Loc24	0	0
208435046	Loc25	1	0
208435046	Loc26	0	0
208435046	Loc27	0	0
208435046	Loc28	0	30
208435046	Loc29	0	0
208435046	Loc30	0	0
208435046	Loc31	0	54
208435046	Loc32	0	0
208435046	Loc33	0	0
208435046	Loc34	0	0
208435046	Loc35	0	0
208435046	Loc36	0	0
208435046	Loc37	0	0
208435046	Loc38	0	0
208435046	Loc39	0	0
